nl_cmd,bash_cmd
list the files in the directory,ls
show the files and folders in the current working directory,ls
show the file and directories in the working directory,ls
display files in the dolder,ls
list the contens of the folder,ls
whare are the files and directories available in this folder,ls
give me the list of files available in the directory,ls
list the files in the directoy and detail like permissions and size,ls -l 
list the contents of the folder with the file details,ls -l 
give a detailed view about the contents of the directory, ls -l 
display the files info in the folder,ls -l 
show the files in a detailed manner,ls -l 
list all the files in the folder including the hidden files, ls -a
display the hidden files in the directory,ls -a
waht are the files are hidden in this folder,ls -a 
show the files both the visible and hidden files,ls -a
provide me the hidden file list in the directory,ls-a
list the files in a folder and also the content of subfoler,ls - R 
display all the files and nested content of the sub directories,ls -R 
show every files in the directory including subdirectories,ls -R 
Give me the recursive list of files in the folder,ls -R 
show me the files in downloads directory,ls ~/Downloads
display detailed information about files in download folder,ls -l ~/Downloads
list the all files including hidden files under downloads directory,ls -a ~/Downloads
provide all the content in download folder and its sub folders,ls -R ~/Downloads
what are the files in musics directory,ls ~/Documents
provide me the info about the content in document folder,ls -l ~/Documents
show the files both visisble and hiddent in documents directory,ls -a ~/Documents
display the cotents in current and sub folders of document folder,ls -R ~/Documents
i want to see files under home directory,ls ~
can you show me the files along with their details in home folder,ls -l ~
display the hidden files under home directory,ls -a ~
provide me nested structure of files in home foder, ls -R ~
show me the files in desktop directory,ls ~/Desktop
display detailed information about files in desktop folder,ls -l ~/Desktop
list the all files including hidden files under desktop directory,ls -a ~/Desktop
provide all the content in desktop folder and its sub folders,ls -R ~/Desktop
what are the files in music directory,ls ~/Music
provide me the info about the content in music folder,ls -l ~/Music
show the files both visisble and hiddent in music directory,ls -a ~/Music
display the cotents in current and sub folders of music folder,ls -R ~/Music
show me the files in pictures directory,ls ~/Pictures
display detailed information about files in picture folder,ls -l ~/Pictures
list the all files including hidden files under pictures directory,ls -a ~/Pictures
provide all the content in picture folder and its sub folders,ls -R ~/Pictures
what are the files in root directory,ls /root
provide me the info about the content in root folder,ls -l /root
show the files both visisble and hiddent in root directory,ls -a /root
display the cotents in current and sub folders of root folder,ls -R /root
i want to see files under videos directory,ls ~/Videos
can you show me the files along with their details in video folder,ls -l ~/Videos
display the hidden files under videos directory,ls -a ~/Videos
provide me nested structure of files in video foder, ls -R ~/Videos
show me the files in public directory,ls ~/Public
display detailed information about files in public folder,ls -l ~/Public
list the all files including hidden files under public directory,ls -a ~/Public
provide all the content in public folder and its sub folders,ls -R ~/Public
what are the files in directory <directory-name>,ls <directory-name>
provide me the info about the content in folder <directory-name>,ls -l <directory-name>
show the files both visisble and hiddent in the directory <directory-name>,ls -a <directory-name>
display the cotents in current and sub folders of folder <directory-name>,ls -R <directory-name>
i want to see files under <directory-name> home directory ,ls ~/<directory-name>
can you show me the files of <directory-name> along with their details in home folder,ls -l ~/<directory-name>
display the hidden files of <directory-name> under home directory,ls -a ~/<directory-name>
provide me nested structure of files of <directory-name> in video foder, ls -R ~/<directory-name>
show me the files of <directory-name> in current directory,ls ./<directory-name>
display detailed information about files of directory-name> in current folder,ls -l ./<directory-name>
list the all files including hidden files in <directory-name> under current directory,ls -a ./<directory-name>
provide all the content of <directory-name> in current folder and its sub folders,ls -R ./<directory-name>
list the files in a tree structure format,tree
show me the contents of the directory in hierarchical order,tree
show the files and directory in tree format,tree
display the contents of a this folder in tree structure,tree
list the files and folder of the directory <directory-name>,tree <directory-name>
display the contents of thie folder <directory-name> in tree strcuture,tree <directory-name>
show files in the <directory_name> directory in a tree view,tree <directory_name>
show hidden files in tree structure,tree -a
show the directory tree including hidden files,tree -a
list the files recursively in a tree view,tree -a
i want to create a file named <file-name>,touch <file-name>
please make a file named <file-name> in the directory <directory-name>,touch <directory-name>/<file-name>
can you create a file under the downloads folder,touch ~/Downloads/<file-name>
i want to create a text file called <file-name>,touch <file-name>.txt
please make a text file named <file-name>.txt,touch <file-name>.txt
can you help me to create a .txt file named <file-name>.txt,touch <file-name>.txt
create me a .txt file called <file-name> under <directory-name>,touch <directory-name>/<file-name>.txt
create a text file <file-name> under documents folder,touch ~/Documents/<file-name>.txt
i want to create a python file called <file-name>,touch <file-name>.py
please make a python file named <file-name>.py,touch <file-name>.py
can you help me to create a .py file named <file-name>.py,touch <file-name>.py
create me a .py file called <file-name> under <directory-name>,touch <directory-name>/<file-name>.py
create a python file <file-name> under home folder,touch ~/<file-name>.py
i need to create a css file called <file-name>,touch <file-name>.css
please make a css file named <file-name>.css,touch <file-name>.css
can you help me to create a .css file named <file-name>.css,touch <file-name>.css
create me a .css file called <file-name> under <directory-name>,touch <directory-name>/<file-name>.css
create a css file <file-name> under root folder,touch ~/root/<file-name>.css
i want to create a html file called <file-name>,touch <file-name>.html
please make a html file named <file-name>.html,touch <file-name>.html
can you help me to create a .html file named <file-name>.html,touch <file-name>.html
create me a .html file called <file-name> under <directory-name>,touch <directory-name>/<file-name>.html
create a html file <file-name> under desktop folder,touch ~/Desktop/<file-name>.html
i need to create a csv file called <file-name>,touch <file-name>.csv
please make a csv file named <file-name>.csv,touch <file-name>.csv
can you help me to create a .csv file named <file-name>.csv,touch <file-name>.csv
create me a .csv file called <file-name> under <directory-name>,touch <directory-name>/<file-name>.csv
create a csv file <file-name> under public folder,touch ~/Public/<file-name>.csv
i want to create a java script file called <file-name>,touch <file-name>.js
please make a javascript file named <file-name>.js,touch <file-name>.js
can you help me to create a .js file named <file-name>.js,touch <file-name>.js
create me a .js file called <file-name> under <directory-name>,touch <directory-name>/<file-name>.js
